Departamento,CÛdigo DANE Municipio
AMAZONAS,91263
AMAZONAS,91405
AMAZONAS,91407
AMAZONAS,91430
AMAZONAS,91001
AMAZONAS,91460
AMAZONAS,91530
AMAZONAS,91536
AMAZONAS,91540
AMAZONAS,91669
AMAZONAS,91798
ANTIOQUIA,5120
ANTIOQUIA,5154
ANTIOQUIA,5250
ANTIOQUIA,5495
ANTIOQUIA,5790
ANTIOQUIA,5895
ANTIOQUIA,5142
ANTIOQUIA,5425
ANTIOQUIA,5579
ANTIOQUIA,5585
ANTIOQUIA,5591
ANTIOQUIA,5893
ANTIOQUIA,5031
ANTIOQUIA,5040
ANTIOQUIA,5190
ANTIOQUIA,5604
ANTIOQUIA,5670
ANTIOQUIA,5690
ANTIOQUIA,5736
ANTIOQUIA,5858
ANTIOQUIA,5885
ANTIOQUIA,5890
ANTIOQUIA,5038
ANTIOQUIA,5086
ANTIOQUIA,5107
ANTIOQUIA,5134
ANTIOQUIA,5150
ANTIOQUIA,5237
ANTIOQUIA,5264
ANTIOQUIA,5310
ANTIOQUIA,5315
ANTIOQUIA,5361
ANTIOQUIA,5647
ANTIOQUIA,5658
ANTIOQUIA,5664
ANTIOQUIA,5686
ANTIOQUIA,5819
ANTIOQUIA,5854
ANTIOQUIA,5887
ANTIOQUIA,5004
ANTIOQUIA,5044
ANTIOQUIA,5059
ANTIOQUIA,5113
ANTIOQUIA,5138
ANTIOQUIA,5234
ANTIOQUIA,5240
ANTIOQUIA,5284
ANTIOQUIA,5306
ANTIOQUIA,5347
ANTIOQUIA,5411
ANTIOQUIA,5501
ANTIOQUIA,5543
ANTIOQUIA,5628
ANTIOQUIA,5656
ANTIOQUIA,5042
ANTIOQUIA,5761
ANTIOQUIA,5842
ANTIOQUIA,5002
ANTIOQUIA,5021
ANTIOQUIA,5055
ANTIOQUIA,5148
ANTIOQUIA,5197
ANTIOQUIA,5206
ANTIOQUIA,5313
ANTIOQUIA,5318
ANTIOQUIA,5321
ANTIOQUIA,5376
ANTIOQUIA,5400
ANTIOQUIA,5440
ANTIOQUIA,5483
ANTIOQUIA,5541
ANTIOQUIA,5607
ANTIOQUIA,5615
ANTIOQUIA,5649
ANTIOQUIA,5652
ANTIOQUIA,5660
