Departamento,Código DANE Municipio,Municipio,Semestre Cosecha Principal,Semestre Cosecha Mitaca,Categoría Cosecha Principal,Categoría Cosecha Mitaca,Mes Predominante I Semestre,2do Mes Predominante I Semestre,Mes Predominante II Semestre,2do Mes Predominante II Semestre,Area Cultivada de Café (Ha),Área Cultivada de Café en Edad Productiva (Ha),"Rango Niña
Típica","Condición
Niña
Típica","Rango Niña 
Débil","Condición Niña 
Débil","Rango 
Niña 
Moderada","Condición Niña 
Moderada","Rango Niña 
Fuerte","Condición Niña 
Fuerte",,,,,
Antioquia,5040,Anori,II, ,2,0,0,0,11,10,278,242,Excedente (120 - 160),Excedente,Normal (80 - 120),Normal,Excedente (120 - 160),Excedente,Excedente (120 - 160),Excedente,,,,,
Antioquia,5854,Valdivia,II, ,2,0,0,0,11,10,48,48,Excedente (120 - 160),Excedente,Normal (80 - 120),Normal,Excedente (120 - 160),Excedente,Normal (80 - 120),Normal,,,,,
Antioquia,5361,Ituango,II, ,2,0,0,0,11,10,2526,2310,Excedente (120 - 160),Excedente,Normal (80 - 120),Normal,Excedente (120 - 160),Excedente,Excedente (120 - 160),Excedente,,,,,
Antioquia,5031,Amalfi,II, ,2,0,0,0,11,10,1789,1533,Excedente (120 - 160),Excedente,Normal (80 - 120),Normal,Excedente (120 - 160),Excedente,Excedente (120 - 160),Excedente,,,,,
Antioquia,5604,Remedios,II, ,2,0,0,0,11,10,13,13,Normal (80 - 120),Normal,Normal (80 - 120),Normal,Excedente (120 - 160),Excedente,Normal (80 - 120),Normal,,,,,
Antioquia,5107,Briceño,II, ,2,0,0,0,11,10,527,433,Normal (80 - 120),Normal,Normal (80 - 120),Normal,Normal (80 - 120),Normal,Excedente (120 - 160),Excedente,,,,,
Antioquia,5887,Yarumal,II, ,2,0,0,0,11,10,282,240,Normal (80 - 120),Normal,Normal (80 - 120),Normal,Normal (80 - 120),Normal,Normal (80 - 120),Normal,,,,,
Antioquia,5543,Peque,II, ,2,0,0,0,11,10,1324,1232,Excedente (120 - 160),Excedente,Normal (80 - 120),Normal,Excedente (120 - 160),Excedente,Normal (80 - 120),Normal,,,,,
Antioquia,5234,Dabeiba,II, ,2,0,0,0,11,10,1644,1523,Normal (80 - 120),Normal,Normal (80 - 120),Normal,Excedente (120 - 160),Excedente,Normal (80 - 120),Normal,,,,,
Antioquia,5134,Campamento,II, ,2,0,0,0,11,10,202,173,Excedente (120 - 160),Excedente,Normal (80 - 120),Normal,Excedente (120 - 160),Excedente,Normal (80 - 120),Normal,,,,,
Antioquia,5819,Toledo,II, ,2,0,0,0,11,10,961,829,Excedente (120 - 160),Excedente,Normal (80 - 120),Normal,Excedente (120 - 160),Excedente,Excedente (120 - 160),Excedente,,,,,
Antioquia,5628,Sabanalarga,II, ,2,0,0,0,11,10,1470,1280,Excedente (120 - 160),Excedente,Normal (80 - 120),Normal,Excedente (120 - 160),Excedente,Excedente (120 - 160),Excedente,,,,,
Antioquia,5647,San Andres,II, ,2,0,0,0,11,10,1170,1081,Excedente (120 - 160),Excedente,Normal (80 - 120),Normal,Normal (80 - 120),Normal,Excedente (120 - 160),Excedente,,,,,
Antioquia,5842,Uramita,II, ,2,0,0,0,11,10,464,412,Excedente (120 - 160),Excedente,Normal (80 - 120),Normal,Excedente (120 - 160),Excedente,Normal (80 - 120),Normal,,,,,
Antioquia,5858,Vegachi,II, ,2,0,0,0,11,10,372,328,Excedente (120 - 160),Excedente,Normal (80 - 120),Normal,Excedente (120 - 160),Excedente,Excedente (120 - 160),Excedente,,,,,
Antioquia,5138,Cañasgordas,II, ,2,0,0,0,11,10,2033,1818,Excedente (120 - 160),Excedente,Normal (80 - 120),Normal,Normal (80 - 120),Normal,Excedente (120 - 160),Excedente,,,,,
Antioquia,5113,Buritica,II, ,2,0,0,0,11,10,907,847,Excedente (120 - 160),Excedente,Normal (80 - 120),Normal,Excedente (120 - 160),Excedente,Excedente (120 - 160),Excedente,,,,,
Antioquia,5038,Angostura,II, ,2,0,0,0,11,10,787,673,Normal (80 - 120),Normal,Normal (80 - 120),Normal,Excedente (120 - 160),Excedente,Normal (80 - 120),Normal,,,,,
Antioquia,5315,Guadalupe,II, ,2,0,0,0,11,10,468,418,Normal (80 - 120),Normal,Normal (80 - 120),Normal,Normal (80 - 120),Normal,Normal (80 - 120),Normal,,,,,
Antioquia,5284,Frontino,II, ,2,0,0,0,11,10,565,520,Excedente (120 - 160),Excedente,Normal (80 - 120),Normal,Excedente (120 - 160),Excedente,Normal (80 - 120),Normal,,,,,
Antioquia,5686,Santa.Rosa De Osos,II, ,2,0,0,0,11,10,644,573,Normal (80 - 120),Normal,Normal (80 - 120),Normal,Excedente (120 - 160),Excedente,Normal (80 - 120),Normal,,,,,
Antioquia,5310,Gomez Plata,II, ,2,0,0,0,11,10,649,560,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit,Normal (80 - 120),Normal,Normal (80 - 120),Normal,,,,,
Antioquia,5890,Yolombo,II, ,2,0,0,0,11,10,1296,1163,Excedente (120 - 160),Excedente,Normal (80 - 120),Normal,Excedente (120 - 160),Excedente,Excedente (120 - 160),Excedente,,,,,
Antioquia,5150,Carolina,II, ,2,0,0,0,11,10,10,7,Normal (80 - 120),Normal,Normal (80 - 120),Normal,Normal (80 - 120),Normal,Normal (80 - 120),Normal,,,,,
Antioquia,5411,Liborina,II, ,2,0,0,0,11,10,1544,1395,Excedente (120 - 160),Excedente,Normal (80 - 120),Normal,Excedente (120 - 160),Excedente,Excedente_Severo (> 160),Excedente_Severo,,,,,
