Departamento,Municipio,Código Dane Municipio,Latitud,Longitud,Rango FT,Condición FT,Rango FD,Condición FD,Rango FM,Condición FM,Rango FF,Condición FF
CALDAS,NEIRA,17486,5.183358589,-75.50692977,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit,Normal (80 - 120),Normal
NARIÑO,LA CRUZ,52378,1.584175998,-76.92335262,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit,Normal (80 - 120),Normal
HUILA,PITAL,41548,2.259601773,-75.8319516,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit
TOLIMA,ALPUJARRA,73024,3.390015064,-74.94078233,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit
ANTIOQUIA,AMALFI,5031,6.977788843,-74.9812393,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit
CAUCA,EL TAMBO,19256,2.534488312,-77.00511207,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit
ANTIOQUIA,ANDES,5034,5.604993248,-75.94128391,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit
VALLE DEL CAUCA,GUACARÍ,76318,3.759414991,-76.34518277,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit,Normal (80 - 120),Normal
BOYACÁ,CHITARAQUE,15185,5.984394625,-73.42582375,Normal (80 - 120),Normal,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit,Normal (80 - 120),Normal
HUILA,SALADOBLANCO,41660,2.100382849,-76.22897871,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit,Normal (80 - 120),Normal
RISARALDA,QUINCHÍA,66594,5.323906864,-75.71339683,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit
CALDAS,SAMANÁ,17662,5.519692873,-74.99718577,Normal (80 - 120),Normal,Normal (80 - 120),Normal,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit
SANTANDER,PÁRAMO,68533,6.416631131,-73.17148232,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit
TOLIMA,LÍBANO,73411,4.877936755,-75.04763076,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit,Normal (80 - 120),Normal
ANTIOQUIA,CAÑASGORDAS,5138,6.814950023,-76.02689632,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit
HUILA,PITALITO,41551,1.848217185,-76.05217643,Normal (80 - 120),Normal,Normal (80 - 120),Normal,Normal (80 - 120),Normal,Normal (80 - 120),Normal
CALDAS,ANSERMA,17042,5.20029922,-75.75289078,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit
RISARALDA,SANTUARIO,66687,5.076100313,-76.02286946,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit,Normal (80 - 120),Normal
HUILA,ISNOS,41359,1.945591321,-76.18204722,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit,Normal (80 - 120),Normal
HUILA,GIGANTE,41306,2.371781539,-75.51699754,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit,Normal (80 - 120),Normal,Normal (80 - 120),Normal
CESAR,PUEBLO BELLO,20570,10.41736874,-73.61450632,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit
HUILA,SAN AGUSTÍN,41668,1.924165493,-76.4165655,Normal (80 - 120),Normal,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit
HUILA,PAICOL,41518,2.40689827,-75.72803027,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit
HUILA,LA PLATA,41396,2.328076586,-76.00117299,Normal (80 - 120),Normal,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit
ANTIOQUIA,BETULIA,5093,6.185783612,-75.95649246,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit,Normal (80 - 120),Normal
ANTIOQUIA,DABEIBA,5234,6.992243782,-76.31426328,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit,Normal (80 - 120),Normal
ANTIOQUIA,JERICÓ,5368,5.769820536,-75.76488256,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit
ANTIOQUIA,SALGAR,5642,5.970502334,-75.98137251,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit
ANTIOQUIA,PEQUE,5543,7.044180058,-75.88968843,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit,Normal (80 - 120),Normal,Normal (80 - 120),Normal
CUNDINAMARCA,TIBACUY,25805,4.321357899,-74.48667274,Normal (80 - 120),Normal,Normal (80 - 120),Normal,Normal (80 - 120),Normal,Normal (80 - 120),Normal
CALDAS,PÁCORA,17513,5.500035035,-75.48245057,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit,Normal (80 - 120),Normal
VALLE DEL CAUCA,RIOFRÍO,76616,4.109500298,-76.37105443,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit
ANTIOQUIA,LA CEJA,5376,5.992524843,-75.43086935,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit
ANTIOQUIA,EL CARMEN DE VIBORAL,5148,5.978078841,-75.2635361,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit
ANTIOQUIA,FREDONIA,5282,5.887702934,-75.67926242,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit
CAUCA,ALMAGUER,19022,1.912440521,-76.83494519,Normal (80 - 120),Normal,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit
HUILA,HOBO,41349,2.541654161,-75.44781083,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit
HUILA,GARZÓN,41298,2.172441496,-75.57131243,Normal (80 - 120),Normal,Normal (80 - 120),Normal,Normal (80 - 120),Normal,Normal (80 - 120),Normal
HUILA,GUADALUPE,41319,1.984394016,-75.69693549,Normal (80 - 120),Normal,Normal (80 - 120),Normal,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit
CALDAS,SALAMINA,17653,5.370332425,-75.40962177,Normal (80 - 120),Normal,Normal (80 - 120),Normal,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit
SANTANDER,TONA,68820,7.170891099,-72.93970443,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit,Normal (80 - 120),Normal
SANTANDER,ZAPATOCA,68895,6.813725566,-73.30975044,Normal (80 - 120),Normal,Normal (80 - 120),Normal,Déficit (40 - 80),Déficit,Déficit (40 - 80),Déficit
